CPF,Nome,Data de nascimento,CEP,CPF do Pai,CPF da Mae,Numero de telefone,Tem filhos,Classe
66666666666,Filho de italo,03/09/2023,,33333333333,,,,
55555555555,Filho de Ellian,06/06/2019,,22222222222,,,,
44444444444,Filho de Miguel,12/12/2019,,11111111111,,,,
33333333333,Italo,04/03/2004,50030-230,,,558183363103,TRUE,media
22222222222,Ellian,20/06/2002,50900-375,,,558195088023,TRUE,media
11111111111,Miguel Oliveira,15/01/2005,50030-230,,,558194217111,TRUE,alta
77777777777,Yasmin Lua,25/11/1990,50030-230,,,11123123213,TRUE,baixa
88888888888,Filho de Yasmin,10/10/2019,,77777777777,,,,
99999999999,Yohan,15/08/1985,51150-601,,,12345678901,TRUE,media
10101010101,Filho de Yohan 1,05/12/2019,,99999999999,,,,
20202020202,Filho de Yohan 2,11/11/2019,,99999999999,,,,
